은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
D07,머스트삼일저축은행,정기예금 복리식,일정금액을 일정기간 동안 예치하여 예치기간이 만료되었을 때 정해진 이자를 받은 상품으로 목돈 운용에 적합,1개월 이상,3개월 미만,10만원 이상,제한없음,1.0
007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,12개월,12개월,십만원 이상,2억원 이하,3.95
007,수협은행,헤이(Hey)정기예금,우대금리 조건없이 간단하며 이벤트시 특별금리를 제공하는 비대면 정기예금,6개월 이상,12개월 미만,십만원 이상,2억원 이하,3.8
A11,HB 저축은행,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,24개월 이상,36개월 미만,10만원 이상,제한없음,3.6
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,3개월 이상,6개월 미만,5백만원,제한없음,2.35
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",24개월 이상,36개월 미만,100원,제한없음,2.8
032,부산은행,LIVE정기예금,특판 전용 정기예금,12개월 이상,24개월 미만,1천만원,제한없음,2.65
034,광주은행,행운박스예금,「행운박스」에 수시「이벤트」를 시행·판매하는 개인전용 정기예금,3개월,3개월,1백만원 이상,1억원 이하,3.1
D02,대백저축은행,애플정기예금복리식(인터넷뱅킹),목돈을 운영할 수 있는 예금상품 (만기일시 원리금 지급),12개월,12개월,"100,000원 이상",제한없음,4.2
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",12개월 이상,24개월 미만,100원,제한없음,2.65
E05,센트럴저축은행,e-정기예금(단리식),일정기간을 정하여 자금을 예치하고 확정금리로 운영되는 상품,3개월 이상,6개월 미만,10만원 이상,제한없음,2.1
E04,삼호저축은행,정기예금(단리식),일정금액을 일정기간 동안 예치하여 월 단위 또는 예치기간이 만료되었을때 정해진 이자를 받는 상품,24개월 이상,36개월 이하,10만원 이상,제한없음,3.7
004,국민은행,일반정기예금,목돈을 일정기간동안 예치하여 안정적인 수익을 목적으로 하는 일시예치식 예금,6개월 이상,12개월 미만,10만원,제한없음,2.3
032,부산은행,정기예금,"목돈을 일정기간 예치하여 매월 이자를 지급하거나 
만기에 일시금으로 수령하는 목돈운용상품",36개월 이상,60개월 이하,100원,제한없음,2.75
032,부산은행,메리트정기예금,시장실세금리에 연동한 약정금리를 만기일까지 적용하는 확정금리 정기예금으로 단기 고금리 상품입,12개월,12개월,5백만원,제한없음,2.75
