은행코드,은행명,상품명,상품개요_설명,계약기간개월수_최소구간,계약기간개월수_최대구간,가입금액_최소구간,가입금액_최대구간,기본금리
A17,웰컴저축은행,WELCOME 체크플러스2 정기적금,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,12개월 이상,24개월미만,제한없음,제한없음,2.8
A17,웰컴저축은행,WELCOME 체크플러스2 정기적금,체크카드 이용 실적에 따라 우대금리를 제공하는 적립식 상품,24개월,24개월,제한없음,제한없음,3.0
032,부산은행,상호부금,"만기에 이자와 함께 목돈을 마련할 수 있으며, 
중간에 목돈이 필요하시면 대출도 가능한 상품",12개월 이상,24개월 미만,제한없음,제한없음,2.9
032,부산은행,상호부금,"만기에 이자와 함께 목돈을 마련할 수 있으며, 
중간에 목돈이 필요하시면 대출도 가능한 상품",24개월 이상,36개월 미만,제한없음,제한없음,2.95
007,수협은행,정기적금,일정한 기간을 정하여 일정일에 일정금액을 납입하면 계약금액을 지급하는 목돈마련저축,24개월 이상,36개월 미만,제한없음,제한없음,3.0
A09,The-K 저축은행,정기적금,일정한 금액을 정기적으로 납입하여 만기일에 이자를 지급받는 상품(영업점 가입전용),36개월,36개월,제한없음,제한없음,3.3
A19,다올 저축은행,Fi정기적금,매월 일정금액을 불입하여 만기시 목돈을 마련하는 상품,12개월 이상,24개월 미만,제한없음,제한없음,4.2
007,수협은행,상호부금,"일정한 기간동안 매월 저축금을 납입하면 만기일에 계약한 금액을 목돈으로 받을 수 있으며, 정기적금보다 계약기간의 선택폭이 큰 적립식예금",24개월 이상,36개월 미만,제한없음,제한없음,2.5
032,부산은행,주택청약종합저축,민영주택 및 국민주택 모두 청약 가능한 만능상품,0개월 이상,1개월 미만,제한없음,제한없음,0.0
A06,OSB저축은행,자유적립예금,"신규 가입 후 가입자가 정한 기간 내 여유자금이 있을 때 추가 입금이 가능하며,
만기 시 월 복리로 계산된 이자와 원금을 받으시는 목돈마련 상품입니다
",24개월 이상,36개월,제한없음,제한없음,3.7
A03,KB저축은행,KB착한정기적금,매월 일정 금액을 정기적으로 저축하고 목돈을 마련하는 정기적금,36개월,36개월,제한없음,제한없음,3.6
004,국민은행,일반정기적금,매월 일정액을 납입하여 목돈을 마련하는 적립식예금,24개월 이상,36개월 미만,제한없음,제한없음,2.9
020,우리은행,우리사랑 정기적금,매월 일정액을 납입하여 목돈을 마련하고자 하는 고객이 가입하는 상품,48개월 이상,60개월 미만,제한없음,제한없음,3.05
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,12개월 이상,24개월 미만,제한없음,제한없음,2.7
088,신한은행,정기적금,일정기간 후에 일정금액을 지급할 것을 약정하고 월1회 일정한 일자에 일정금액을 수입하는 적금 상품,24개월 이상,36개월 미만,제한없음,제한없음,2.75
032,부산은행,주택청약종합저축,민영주택 및 국민주택 모두 청약 가능한 만능상품,24개월 이상,제한없음,제한없음,제한없음,2.1
B05,부림저축은행,톡톡정기적금,"매월 일정금액을 정기적으로 적립하고 만기에 원금과 이자를 
수령하는 목돈만들기 상품(비대면전용상품)",6개월 이상,12개월 미만,제한없음,제한없음,2.4
B05,부림저축은행,자유적립예금,일정기간동안 금액 횟수에 제한없이 자유롭게 납입하고 만기일에 목돈을 마련하는 상품(영업점내방/창구전용),12개월,12개월,제한없음,제한없음,3.9
